Jung_graph_model (207 classes; 21 packages; 603 deps)

Cycle #0: Jung_graph_model
S; MQ:  7,8205; MV:    0; DT:    0; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 13 13 13 14 14 14 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20]
C; MQ: 16,3204; MV:  111; DT:    0; SOL: [26 26 26 15 15 15 15 26 26 15 15 1 1 1 24 24 10 10 0 0 25 25 22 22 0 0 0 0 0 0 15 15 2 27 26 2 19 15 3 2 0 3 3 3 3 3 24 24 24 26 4 4 4 2 4 2 4 4 4 4 4 4 4 4 24 26 26 26 2 5 5 0 27 6 6 27 7 7 2 7 7 7 7 8 9 9 10 26 9 9 10 26 11 11 11 11 11 8 27 27 14 11 8 27 23 23 23 12 12 12 12 12 12 23 23 23 22 22 21 21 21 21 23 23 23 12 12 21 12 12 12 12 12 23 12 12 23 13 13 14 14 14 27 27 27 16 2 18 16 16 16 16 18 16 18 16 2 17 17 17 2 2 2 16 2 16 17 17 17 2 27 16 16 2 18 18 18 18 18 18 18 26 2 27 22 22 18 26 19 5 18 14 6 14 23 8 6 6 20 20 20 20 24 20 20 20 20]
I; MQ:  7,9611; MV:    5; DT:    0; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 2 12 12 13 13 13 14 14 14 2 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 2 16 16 16 16 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 19 18 20 20 14 20 20 20 20 20 20 20 20 20 20 20 20 20]
I; MQ:  8,1603; MV:    9; DT:    1; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 19 2 2 4 2 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 10 10 10 11 11 11 11 11 2 11 2 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 2 12 12 13 13 13 14 14 14 2 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 19 18 20 20 14 20 20 20 20 20 20 20 20 20 20 20 20 20]
I; MQ:  8,2662; MV:   13; DT:    2; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 2 2 2 19 2 2 4 2 3 3 3 3 3 4 4 4 4 4 4 1 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 10 10 10 11 11 11 11 11 1 11 2 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 2 12 12 13 13 13 14 14 14 2 15 15 16 16 16 16 16 16 16 16 16 16 16 16 17 16 16 17 16 16 16 16 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 19 18 20 20 14 20 20 20 20 20 20 20 20 20 20 20 20 20]
I; MQ:  8,3498; MV:   16; DT:    3; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 2 2 2 19 2 2 4 2 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 10 10 10 11 11 11 11 11 1 11 2 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 18 12 12 12 12 12 12 12 12 12 12 2 12 12 13 13 13 14 14 14 2 15 15 16 16 2 16 16 16 16 16 16 16 16 16 17 16 16 17 16 16 16 16 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 0 18 18 18 18 18 19 19 19 18 20 20 14 20 20 20 20 20 20 20 20 20 20 20 20 20]
I; MQ:  8,4885; MV:   20; DT:    4; SOL: [0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 2 2 2 19 2 2 4 2 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 10 10 10 11 11 11 11 11 1 0 2 11 11 1 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 18 12 12 12 12 12 12 12 12 12 12 2 12 12 13 13 13 14 14 14 2 15 15 16 16 2 16 16 16 16 16 16 16 16 16 17 16 16 17 16 16 16 16 17 17 17 17 16 17 17 17 18 18 18 18 18 18 18 18 2 18 18 18 18 18 19 19 19 18 20 20 14 20 20 20 20 20 20 20 20 20 20 20 20 20]
I; MQ:  8,6869; MV:   22; DT:    6; SOL: [0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 2 2 2 19 2 2 4 2 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 10 10 10 11 11 11 11 11 1 1 2 11 11 1 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 18 12 12 12 12 12 12 12 12 12 12 2 12 12 13 13 13 14 14 14 2 15 15 16 16 2 16 16 16 16 16 16 16 16 16 17 16 16 17 16 16 16 16 17 17 17 17 16 17 17 17 18 18 18 18 18 18 18 18 2 18 18 18 18 18 19 19 19 18 20 20 14 20 20 20 20 20 20 20 20 20 20 20 20 20]
I; MQ:  8,8766; MV:   24; DT:   11; SOL: [0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 15 2 2 2 2 19 2 2 4 2 3 3 3 3 3 4 4 4 4 4 4 15 4 4 4 4 4 15 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 10 10 10 11 11 11 11 11 8 1 2 11 11 8 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 18 12 12 12 12 12 12 12 12 12 12 2 12 12 13 13 13 14 14 14 2 15 15 16 16 2 16 16 16 16 16 16 16 16 16 17 16 16 17 16 16 16 16 17 17 17 17 16 17 17 17 18 18 18 18 18 18 18 18 2 18 18 18 18 18 19 19 19 18 20 20 14 20 20 20 20 20 20 20 20 20 20 20 20 20]
I; MQ:  9,1253; MV:   24; DT:   15; SOL: [0 0 0 0 0 0 0 15 0 0 0 1 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 15 2 2 2 2 19 2 2 4 2 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 15 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 10 10 10 11 11 11 11 11 8 8 2 11 11 8 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 18 12 12 12 12 12 12 12 12 12 12 2 12 12 13 13 13 14 14 14 2 15 15 16 16 2 16 16 16 16 16 16 16 16 16 17 16 16 17 16 16 16 16 17 17 17 17 16 17 17 17 18 18 18 18 18 18 18 18 2 18 18 18 18 18 19 19 19 18 20 6 8 20 20 20 20 20 20 20 20 20 20 20 20 20]
I; MQ:  9,3996; MV:   29; DT:   15; SOL: [0 0 0 0 0 0 0 15 0 0 0 1 1 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 15 2 2 2 2 19 2 2 4 2 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 15 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 10 10 10 11 11 11 11 11 8 8 2 11 11 8 11 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 12 12 18 12 12 12 12 12 12 12 12 12 12 2 12 12 13 13 13 14 14 14 2 15 15 16 16 2 16 16 16 16 16 16 16 16 16 17 16 16 17 16 16 16 16 17 17 17 17 16 17 17 17 18 18 18 18 18 18 18 18 2 2 0 18 18 18 15 19 19 18 20 6 8 20 20 20 20 20 20 20 20 20 20 20 20 20]
