dom4j (195 classes; 16 packages; 930 deps)

Cycle #0: dom4j
S; MQ:  5,3055; MV:    0; DT:    0; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 13 13 13 13 13 13 13 13 13 13 13 14 14 14 14 15]
C; MQ:  8,6666; MV:   84; DT:    0; SOL: [0 0 0 3 0 0 15 0 0 0 0 5 5 0 0 0 0 0 0 0 13 0 0 0 0 14 1 1 1 1 1 13 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 0 0 0 6 5 0 0 5 0 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 0 13 0 0 0 0 15 15 6 6 6 6 6 6 6 6 6 0 8 8 7 8 8 7 7 8 9 9 9 0 9 9 9 9 9 0 0 11 11 11 11 11 0 0 0 13 0 0 0 0 0 0 0 0 0 0 4 0 0 12 12 12 12 12 12 12 12 12 12 0 13 0 0 0 3 0 0 0 0 4 10 10 10 10 13 0 0 0 0 4 0 0 13 0 2 13 13 0 13 13 0 13 13 13 13 0 14 14 0 15]
I; MQ:  5,4138; MV:    5; DT:    0; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 13 0 0 0 0 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 13 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 0 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 12 12 13 13 13 13 13 13 13 13 13 13 13 14 14 14 14 15]
I; MQ:  5,4753; MV:    8; DT:    1; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 13 0 0 0 0 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 13 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 0 12 12 12 12 12 0 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 12 12 13 13 13 13 13 13 13 13 13 13 13 14 14 14 0 15]
I; MQ:  5,6750; MV:   12; DT:    2; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 13 0 0 0 0 1 1 1 1 1 2 2 0 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 13 5 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 15 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 0 12 12 12 12 12 0 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 12 12 13 13 13 0 13 13 13 13 13 13 13 14 14 14 0 15]
I; MQ:  5,7635; MV:   17; DT:    2; SOL: [0 0 0 0 0 0 0 12 0 0 0 0 5 5 0 0 0 0 0 0 0 13 0 0 0 0 1 1 1 1 1 2 2 0 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 13 5 4 4 4 5 5 5 5 5 0 5 6 5 5 5 5 5 5 0 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 15 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 0 12 12 12 12 12 0 12 12 12 12 12 13 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 12 12 13 13 13 0 13 13 13 13 13 13 13 14 14 14 0 15]
I; MQ:  5,8657; MV:   18; DT:    4; SOL: [0 0 0 0 0 0 0 12 0 0 0 0 5 0 0 0 0 0 0 0 0 13 0 0 0 0 1 1 1 1 1 2 2 0 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 13 5 4 4 4 5 5 5 5 5 0 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 5 15 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 0 0 12 12 12 12 12 0 12 12 12 12 12 13 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 0 12 12 12 12 12 12 13 12 12 12 12 13 13 13 0 13 13 13 13 13 13 13 14 14 14 0 15]
I; MQ:  5,9132; MV:   21; DT:    6; SOL: [0 0 0 0 0 0 0 12 0 0 0 0 5 0 0 14 0 0 0 0 0 13 0 0 0 0 1 1 1 1 1 2 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 13 5 4 5 4 5 5 5 5 5 0 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 5 15 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 10 9 11 11 11 11 11 11 0 0 12 12 12 12 12 0 12 12 12 12 12 13 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 0 12 12 12 12 12 12 13 12 12 12 12 13 13 13 0 13 13 13 13 13 13 13 14 14 14 14 15]
I; MQ:  5,9371; MV:   22; DT:    9; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 13 0 0 0 0 1 1 1 1 1 2 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 13 5 4 5 4 5 5 5 5 5 0 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 5 15 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 10 9 11 11 11 11 11 11 0 0 12 12 12 12 0 0 12 12 12 12 12 13 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 0 12 12 12 12 12 12 12 12 0 12 12 12 12 12 12 13 12 12 12 12 13 13 13 0 13 13 13 13 13 13 13 14 14 14 0 15]
I; MQ:  5,9478; MV:   23; DT:   11; SOL: [0 0 0 0 0 0 0 0 0 0 13 0 5 0 0 0 0 0 0 0 0 13 0 0 0 0 1 1 1 1 1 2 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 13 5 4 5 4 5 5 5 5 5 0 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 5 15 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 10 9 11 11 11 11 11 11 0 0 12 12 12 12 12 0 12 12 12 12 12 13 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 0 12 12 12 12 12 12 13 13 12 12 12 12 12 12 12 13 12 12 12 12 13 13 13 0 13 13 13 13 13 13 13 14 14 14 0 15]
I; MQ:  5,9677; MV:   28; DT:   12; SOL: [0 0 0 0 0 0 0 0 0 0 13 0 5 0 0 0 0 0 0 0 0 13 0 0 0 0 1 1 1 1 1 13 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 13 5 5 5 4 5 5 5 5 5 0 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 5 15 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 10 9 11 11 11 11 11 11 0 0 12 12 12 12 12 0 12 12 12 12 12 13 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 0 3 12 12 12 12 0 13 13 13 12 12 12 12 12 12 13 12 12 12 12 13 13 13 0 13 13 13 13 13 13 13 14 14 14 0 15]
