JavaGeom (172 classes; 21 packages; 1445 deps)

Cycle #0: JavaGeom
S; MQ:  5,4262; MV:    0; DT:    0; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 11 11 11 11 12 12 12 13 13 13 13 13 13 14 14 14 14 14 15 15 15 15 15 16 16 17 17 18 19 19 19 20 20]
C; MQ:  8,3745; MV:   60; DT:    0; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 12 1 4 12 13 12 1 1 1 1 20 12 2 4 10 3 10 10 2 2 2 2 10 2 3 2 10 10 2 2 2 2 3 2 12 14 3 3 3 3 3 3 12 12 4 12 4 4 4 4 4 4 4 12 12 5 5 20 20 5 5 5 5 5 3 5 5 12 5 5 6 6 6 12 6 6 6 1 1 6 12 5 4 4 7 7 7 8 8 8 12 1 8 12 12 8 12 9 9 9 9 7 7 10 7 10 5 10 10 10 10 12 12 10 10 11 11 11 10 5 5 5 10 10 13 13 13 13 14 14 14 14 14 15 15 15 15 18 16 16 16 17 17 18 19 19 20 20]
I; MQ:  6,4300; MV:    5; DT:    0; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 14 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 20 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 8 8 8 8 8 8 8 1 8 8 9 9 9 9 9 7 9 9 10 10 10 10 10 10 10 10 10 10 11 11 11 11 12 12 12 13 2 13 13 13 13 14 14 14 14 14 15 15 15 15 15 16 16 17 17 18 19 19 19 20 20]
I; MQ:  6,6787; MV:    9; DT:    1; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 3 14 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 20 5 5 5 5 5 5 12 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 8 8 8 8 8 8 8 10 8 8 9 9 9 9 9 7 9 9 10 10 10 10 10 10 10 10 10 10 11 11 11 10 12 12 12 13 2 13 13 13 13 14 14 14 14 14 15 15 15 15 18 16 16 17 17 18 19 19 19 20 20]
I; MQ:  6,7610; MV:   14; DT:    1; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 20 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 3 14 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 20 5 5 5 5 5 5 12 5 5 5 5 6 6 6 4 6 6 6 6 6 6 6 6 6 6 7 7 7 8 8 8 1 8 8 8 10 8 8 9 9 9 9 9 7 9 9 10 10 10 10 10 10 10 10 1 10 11 11 11 10 12 12 12 13 2 13 13 13 13 14 14 14 14 14 15 15 15 15 18 16 16 17 17 18 19 19 19 20 20]
I; MQ:  6,9249; MV:   15; DT:    4; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 20 1 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 3 14 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 20 5 5 5 5 5 5 12 5 5 5 5 6 6 6 4 6 6 6 6 6 6 6 6 6 6 7 7 7 8 8 8 5 8 8 8 10 8 8 9 9 9 9 7 7 9 9 10 10 10 10 10 10 10 10 2 10 11 11 11 10 12 12 12 13 2 13 13 13 13 14 14 14 14 14 15 15 15 15 18 16 16 17 17 18 19 19 19 20 20]
I; MQ:  6,9632; MV:   18; DT:    6; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 1 1 1 1 1 1 1 1 1 1 20 12 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 3 14 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 20 5 5 5 5 5 5 5 4 1 5 5 6 6 6 4 6 6 6 6 6 6 6 6 6 6 7 7 7 8 8 8 5 8 8 8 10 8 8 9 9 9 9 7 7 9 9 10 10 10 10 10 10 10 10 2 10 11 11 11 10 12 12 12 13 2 13 13 13 13 14 14 14 14 14 15 15 15 15 18 16 16 17 17 18 19 19 19 20 20]
I; MQ:  6,9948; MV:   22; DT:    7; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 3 1 1 1 1 1 1 1 1 1 20 12 2 6 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 3 14 3 3 3 3 3 3 3 3 4 4 4 4 4 6 4 4 4 4 4 4 4 1 20 5 5 5 5 5 5 5 4 1 5 5 6 6 6 4 6 6 6 6 6 6 6 6 6 6 7 7 7 8 8 8 5 8 8 8 10 8 8 9 9 9 9 7 7 9 9 10 10 10 10 10 10 10 10 1 10 11 11 11 10 12 12 12 13 2 13 13 13 13 14 14 14 14 14 15 15 15 15 18 16 16 17 17 18 19 19 19 20 20]
I; MQ:  7,1107; MV:   23; DT:   10; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 3 1 1 12 13 1 1 1 1 1 20 12 2 4 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 3 14 3 3 3 3 3 3 3 3 4 4 4 4 4 6 4 4 4 4 4 4 4 20 20 5 5 5 5 5 5 5 4 1 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 8 8 8 5 8 8 8 10 8 8 9 9 9 9 7 7 9 9 10 10 10 10 10 10 10 10 1 10 11 11 11 10 12 12 12 13 2 13 13 13 13 14 14 14 14 14 15 15 15 15 18 16 16 17 17 18 19 19 19 20 20]
I; MQ:  7,1448; MV:   26; DT:   12; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 3 1 1 12 13 12 1 1 1 1 20 12 2 6 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 3 14 3 3 3 3 3 3 3 3 4 4 4 4 4 6 4 4 4 4 4 4 4 20 20 5 5 5 5 5 5 5 4 1 5 5 6 6 6 6 6 6 6 1 1 6 6 6 6 6 7 7 7 8 8 8 5 8 8 8 10 8 8 9 9 9 9 7 7 9 9 10 10 10 10 10 10 10 10 2 10 11 11 11 10 12 12 12 13 2 13 13 13 13 14 14 14 14 14 15 15 15 15 18 16 16 17 17 18 19 19 19 20 20]
I; MQ:  7,1942; MV:   29; DT:   14; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 4 1 1 12 13 12 12 1 1 1 20 12 2 6 2 3 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 3 2 3 14 3 3 3 3 3 3 3 3 4 4 4 4 4 6 4 4 4 4 4 4 4 20 20 5 5 5 5 5 5 5 4 12 5 5 6 6 6 6 6 6 6 1 1 6 6 6 6 6 7 7 7 8 8 8 5 12 8 8 10 8 8 9 9 9 9 7 7 9 9 10 10 10 10 10 10 10 10 2 10 11 11 11 10 12 12 12 13 2 13 13 13 13 14 14 14 14 14 15 15 15 15 18 16 16 17 17 18 19 19 19 20 20]
