jmetal (190 classes; 46 packages; 1137 deps)

Cycle #0: jmetal
S; MQ:  3,9764; MV:    0; DT:    0; SOL: [0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 12 13 14 15 16 17 18 18 18 18 18 18 19 20 20 20 20 21 21 22 23 24 25 26 27 27 28 28 28 28 28 29 30 31 32 32 32 32 32 32 32 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 36 36 37 37 37 38 38 39 39 40 40 41 41 41 41 41 42 42 42 43 43 44 45 45 45]
C; MQ: 11,4013; MV:  130; DT:    0; SOL: [13 13 13 14 13 36 29 14 17 0 12 14 0 1 14 31 12 12 15 27 1 14 25 14 2 2 36 29 6 26 36 29 6 26 6 3 3 6 34 9 9 11 29 36 29 36 28 17 5 30 24 30 30 30 30 43 34 36 40 6 6 7 6 26 36 34 40 6 6 7 26 7 29 9 8 19 19 21 9 19 16 9 2 16 2 9 20 2 21 11 9 25 9 9 10 10 8 13 8 8 12 0 31 15 16 13 0 0 0 0 0 0 35 20 4 20 20 21 13 11 23 24 25 27 27 27 28 37 37 13 43 13 32 13 32 33 32 32 32 32 32 33 32 33 23 29 0 22 22 15 13 18 18 25 4 5 2 4 4 0 12 23 35 35 31 34 36 37 40 37 38 38 39 39 13 40 44 44 41 44 41 42 42 42 43 43 45 45 40 45]
I; MQ:  4,2173; MV:    5; DT:    0; SOL: [0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 27 1 1 1 1 2 2 2 2 6 7 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 0 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 12 13 14 15 16 17 18 18 18 18 18 18 19 20 20 20 20 21 21 22 23 24 25 26 27 27 28 28 28 28 28 29 30 31 32 32 32 32 32 32 32 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 6 36 37 37 37 38 38 39 39 40 40 41 41 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  4,4135; MV:    9; DT:    1; SOL: [0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 27 1 1 1 1 2 2 2 2 6 7 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 16 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 12 13 14 15 16 17 18 18 18 18 18 18 19 20 20 20 20 21 21 1 23 24 25 27 27 27 28 28 28 28 28 29 30 31 32 32 32 32 32 32 32 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 6 36 37 37 37 38 38 39 39 40 40 41 28 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  4,8173; MV:   13; DT:    2; SOL: [0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 27 1 1 1 1 2 2 2 2 6 7 2 36 2 2 2 3 3 4 4 4 4 4 36 4 4 4 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 8 8 8 8 8 8 9 9 9 16 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 12 13 14 15 16 17 18 18 18 18 18 18 19 20 20 20 20 21 21 1 23 24 25 27 27 27 28 28 28 28 28 29 30 31 32 32 32 32 32 32 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  5,0135; MV:   18; DT:    2; SOL: [0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 27 1 1 1 1 2 2 2 2 6 7 2 36 6 2 2 3 3 4 4 4 9 4 36 4 4 4 5 5 5 5 5 5 34 5 5 5 6 6 6 6 6 6 6 6 6 6 40 7 7 7 7 7 7 8 8 8 8 8 8 8 9 9 9 16 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 12 13 14 15 16 17 18 18 18 18 18 18 19 20 20 20 20 21 21 1 23 24 25 27 27 27 28 28 28 28 28 0 30 31 32 32 32 32 32 32 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  5,1754; MV:   23; DT:    2; SOL: [0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 27 1 1 1 1 2 2 2 2 6 7 2 36 6 2 0 3 3 4 4 4 9 4 36 4 4 4 5 5 5 5 5 5 34 5 5 5 6 6 6 6 6 6 6 6 6 6 40 7 7 7 7 7 7 8 8 8 8 8 8 8 9 9 9 16 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 12 13 14 15 16 17 18 18 18 18 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 28 28 28 28 0 30 31 32 32 32 32 32 32 33 33 33 32 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 31 35 35 35 35 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  5,2893; MV:   25; DT:    4; SOL: [0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 27 1 1 1 1 2 2 2 2 2 7 2 36 6 2 6 3 3 4 4 4 9 4 36 4 4 4 5 5 5 5 5 5 34 5 5 5 6 6 6 6 6 6 6 6 6 6 40 7 7 7 7 7 7 8 8 8 8 8 8 8 9 9 9 16 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 12 13 14 15 16 17 34 18 34 18 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 28 28 28 0 0 30 31 32 32 32 32 32 32 33 33 33 32 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 31 35 35 35 35 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  5,3944; MV:   29; DT:    6; SOL: [0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 27 1 1 1 1 2 2 2 2 6 7 2 36 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 5 5 5 34 5 5 5 6 6 6 6 6 6 6 6 6 6 40 7 7 7 7 7 7 8 8 8 8 8 8 8 9 9 9 16 9 9 2 9 9 9 9 9 9 9 10 10 11 11 11 11 12 13 14 15 16 17 34 18 34 18 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 28 28 28 43 0 30 31 32 32 33 32 32 32 33 33 33 32 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 31 35 35 35 35 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  5,4829; MV:   32; DT:    8; SOL: [0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 27 1 1 1 1 2 9 2 2 7 7 2 36 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 5 5 5 34 5 5 5 6 6 6 6 6 6 6 6 6 6 40 7 7 7 7 7 7 8 8 8 8 8 8 8 9 9 9 16 9 9 20 9 9 9 9 9 9 9 10 10 11 11 11 11 12 13 14 15 16 17 34 18 34 18 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 28 28 28 43 0 30 31 32 32 33 32 32 32 33 33 33 32 34 34 34 34 34 0 34 34 34 34 34 34 34 7 34 34 31 35 35 35 35 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  5,6468; MV:   36; DT:    9; SOL: [0 0 0 0 0 0 0 1 5 1 1 0 1 1 1 1 1 1 1 27 1 1 1 0 2 9 2 2 7 7 2 36 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 5 5 5 34 5 5 5 6 6 6 6 6 6 6 6 6 6 40 7 7 7 7 7 7 8 8 8 8 8 8 8 9 9 9 16 9 9 20 9 9 9 9 9 9 9 10 10 11 11 11 11 12 13 1 15 16 17 34 18 34 18 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 28 28 28 43 0 30 31 32 32 33 32 32 32 33 33 33 32 34 34 34 34 34 15 34 34 34 34 34 34 34 7 34 34 31 35 35 35 1 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  5,7660; MV:   39; DT:   11; SOL: [0 0 0 0 0 0 0 1 5 1 1 0 1 1 1 1 1 1 1 27 1 1 1 0 2 9 2 2 7 7 36 7 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 5 5 5 34 5 5 5 6 6 6 6 6 6 6 6 6 6 40 7 7 7 7 7 7 8 8 8 8 8 8 8 9 9 9 16 9 9 20 9 9 9 9 9 9 9 10 10 11 11 11 11 12 13 1 15 16 17 34 18 34 18 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 37 28 28 43 0 32 31 32 32 33 32 32 32 33 33 33 32 34 34 34 34 34 15 34 34 34 34 34 34 34 7 34 34 31 35 35 35 13 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  5,9789; MV:   41; DT:   13; SOL: [0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 27 1 1 1 0 2 9 2 2 7 7 36 7 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 5 5 5 34 5 5 5 6 6 6 6 6 6 6 6 6 6 40 7 7 7 7 7 7 8 8 8 8 8 8 8 9 9 9 16 9 9 20 9 9 9 9 9 9 9 10 10 11 11 11 11 12 13 0 15 16 17 34 18 34 34 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 37 37 28 43 0 32 31 32 32 33 32 32 32 33 33 33 32 34 34 34 34 34 15 34 34 34 25 34 34 34 7 34 34 31 35 35 35 13 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  6,0024; MV:   43; DT:   17; SOL: [0 0 0 0 0 0 0 1 5 1 1 0 1 1 1 1 1 1 1 27 1 1 1 0 2 9 2 2 6 7 36 7 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 5 5 5 34 5 5 5 6 6 6 6 6 6 6 6 6 6 40 7 7 6 7 7 7 8 8 8 8 8 8 8 9 9 9 16 9 9 20 9 9 9 9 9 9 9 10 10 11 11 11 11 12 13 1 15 16 17 34 18 34 34 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 37 37 28 43 0 32 31 32 32 33 32 32 32 33 33 33 32 34 34 34 34 34 15 34 34 34 25 34 34 34 4 34 34 31 35 35 35 13 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  6,0895; MV:   44; DT:   20; SOL: [9 0 0 0 0 0 0 1 5 1 1 0 1 1 1 1 1 1 1 27 1 1 1 0 2 9 2 2 7 7 36 36 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 5 5 5 34 5 5 5 6 6 6 6 6 6 6 6 6 6 40 7 7 6 7 7 7 8 8 8 8 8 8 8 8 9 9 16 9 9 20 9 21 9 9 9 9 9 10 10 11 11 11 11 12 13 1 15 16 17 34 18 34 34 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 37 37 28 43 0 32 31 32 32 33 32 32 32 33 33 33 32 34 34 34 34 34 15 34 34 34 25 34 34 34 4 34 34 31 35 35 35 13 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  6,1875; MV:   43; DT:   23; SOL: [9 0 0 0 0 0 0 1 5 1 1 0 1 1 1 1 1 1 1 27 1 1 1 0 2 2 2 2 2 7 2 36 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 5 5 5 34 5 5 5 6 6 6 6 6 6 6 6 6 6 40 7 7 6 7 7 7 8 8 8 8 8 8 8 8 9 9 16 17 9 20 9 21 9 9 9 9 9 10 10 11 11 11 11 12 13 1 15 16 17 34 18 34 34 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 37 37 28 43 0 32 31 32 32 33 32 32 32 33 33 33 32 34 34 34 34 34 15 34 34 34 25 0 34 34 4 34 34 31 35 35 35 13 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  6,3736; MV:   46; DT:   25; SOL: [9 0 0 0 0 0 0 1 5 1 1 0 1 1 1 1 12 12 1 27 1 1 1 0 2 2 2 2 2 7 2 7 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 5 5 5 34 5 5 5 6 36 6 6 6 6 6 6 6 6 40 7 7 6 7 7 7 8 8 8 8 8 8 8 8 9 9 16 17 9 20 9 21 9 9 9 9 9 10 10 11 11 11 11 12 13 1 15 16 17 34 18 34 34 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 37 37 28 43 0 32 31 32 32 33 32 32 32 33 33 33 32 34 34 34 34 34 15 34 34 34 25 4 34 34 4 34 34 31 35 35 35 13 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  6,3984; MV:   46; DT:   29; SOL: [9 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 12 12 1 27 1 1 1 0 2 2 2 2 6 2 2 7 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 5 5 5 34 5 5 5 6 36 6 6 6 7 6 6 6 6 40 7 7 34 7 7 7 8 8 8 8 8 8 8 8 9 9 16 17 9 20 9 21 9 9 9 9 9 10 10 11 11 11 11 12 13 1 15 16 17 34 18 34 34 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 37 37 28 43 0 32 31 32 32 33 32 32 32 33 33 33 32 34 34 34 34 34 15 34 34 34 25 4 34 34 4 34 34 31 35 35 35 13 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  6,5626; MV:   48; DT:   32; SOL: [9 0 0 0 0 0 0 1 5 1 1 0 1 1 1 1 12 12 1 27 1 1 1 0 2 2 2 2 6 2 2 36 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 5 24 5 34 5 5 5 6 36 6 6 6 7 6 6 6 6 40 7 7 7 2 7 7 8 8 8 8 8 8 8 8 9 9 16 17 9 20 9 21 9 9 9 9 9 10 10 11 11 11 11 12 13 1 15 16 17 34 18 34 34 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 37 37 28 43 0 32 31 32 32 33 32 32 32 33 33 33 32 34 34 34 34 34 15 34 34 34 25 4 34 34 4 34 34 31 35 35 35 13 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  6,6794; MV:   53; DT:   33; SOL: [9 0 0 0 0 0 0 1 5 1 1 0 1 1 1 1 12 12 1 27 1 1 1 0 2 2 2 2 6 2 2 36 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 5 24 5 34 5 21 5 6 36 6 6 6 7 6 6 6 6 40 7 7 7 2 7 7 8 8 8 8 8 8 8 9 9 9 16 17 9 20 21 21 9 9 9 9 9 10 10 11 11 11 11 12 13 1 15 16 17 34 18 34 34 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 37 37 28 43 0 32 31 32 32 33 32 32 32 33 33 33 32 34 34 18 34 34 15 34 34 34 25 4 5 34 4 34 34 31 35 35 35 13 6 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  6,7775; MV:   56; DT:   36; SOL: [9 0 0 0 0 6 0 1 5 1 1 0 1 1 1 1 12 12 1 27 1 1 1 0 2 2 2 2 6 2 6 36 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 5 24 5 34 5 21 5 40 36 6 6 6 7 6 6 6 34 40 7 7 7 2 7 7 8 8 8 8 8 8 8 9 9 9 16 17 9 20 21 21 9 9 9 9 9 10 10 11 11 11 11 12 13 1 15 16 17 34 18 34 34 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 37 37 28 43 0 32 31 32 32 33 32 32 32 33 33 33 32 34 34 18 34 34 15 34 34 34 25 4 5 34 4 34 34 31 35 35 35 13 34 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  6,8401; MV:   57; DT:   39; SOL: [9 0 0 0 0 6 0 1 5 1 1 0 1 1 1 1 12 12 1 27 1 1 1 0 2 2 2 2 6 2 6 36 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 21 24 5 34 5 21 5 40 36 6 6 6 7 6 6 6 34 40 7 7 7 2 7 7 8 8 8 8 8 8 8 9 9 9 16 17 9 20 21 21 9 9 9 9 9 10 10 11 11 11 11 12 13 1 15 16 17 0 18 18 0 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 37 37 28 43 0 32 31 32 32 33 32 32 32 33 33 33 32 34 34 18 34 34 15 34 34 18 25 4 5 34 4 34 34 31 35 35 35 13 34 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  6,9158; MV:   61; DT:   41; SOL: [9 0 0 0 0 6 0 1 5 1 1 0 1 1 1 1 12 12 0 27 1 1 1 0 2 2 2 2 6 2 6 36 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 21 24 5 34 5 21 5 40 36 6 6 6 7 6 6 6 34 40 7 7 7 2 7 7 8 8 8 8 8 8 8 9 9 9 16 17 9 20 21 21 9 9 9 9 9 10 10 11 11 11 8 12 13 1 15 16 17 0 18 0 0 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 37 37 28 43 0 32 31 32 32 33 32 32 32 33 33 33 32 34 34 0 34 34 15 34 18 18 25 4 5 34 4 34 34 31 35 35 35 13 34 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  7,2962; MV:   62; DT:   44; SOL: [9 0 0 0 0 6 4 1 5 1 1 0 1 1 1 1 12 12 15 27 1 1 1 0 2 2 2 2 6 2 6 4 6 2 6 3 3 4 4 4 9 4 36 4 4 4 28 5 5 21 24 5 34 5 21 5 40 36 6 6 6 7 6 6 6 34 40 7 7 7 2 7 7 8 8 8 8 8 8 8 9 9 9 16 17 9 20 21 21 9 9 9 9 9 10 10 11 11 11 8 12 13 1 15 16 17 0 18 0 0 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 37 37 28 43 0 32 31 32 32 32 32 32 32 33 33 32 32 34 34 0 34 34 15 34 18 18 25 4 5 34 4 34 34 31 35 35 35 13 34 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
I; MQ:  7,4359; MV:   64; DT:   47; SOL: [9 0 0 0 0 6 7 1 5 1 1 0 1 1 1 1 12 12 15 27 1 1 1 0 2 2 2 2 6 2 6 7 6 2 6 3 3 4 34 4 9 4 36 4 4 4 28 5 5 21 24 5 34 5 21 5 34 36 6 6 6 7 6 6 6 34 40 7 7 7 2 7 7 8 8 8 8 8 8 8 9 9 9 16 17 9 20 21 21 9 9 9 9 9 10 10 11 11 11 8 12 13 1 15 16 17 0 18 0 0 18 18 19 20 0 20 20 21 21 1 23 24 25 27 27 27 28 37 37 28 43 0 32 31 32 32 32 32 32 32 33 33 32 32 34 34 0 34 31 15 34 18 18 25 4 5 34 4 34 34 31 35 35 35 13 34 36 37 37 37 38 38 39 39 40 40 41 44 41 41 41 42 42 42 43 43 44 45 45 45]
