jml-1.0b4 (270 classes; 15 packages; 1745 deps)

Cycle #0: jml-1.0b4
S; MQ:  4,3299; MV:    0; DT:    0; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 10 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14]
C; MQ:  9,3170; MV:  171; DT:    0; SOL: [18 18 19 12 3 3 22 22 1 11 11 0 0 21 17 21 22 12 8 21 12 12 12 12 12 4 1 1 4 4 11 11 4 4 1 1 1 1 2 2 2 2 9 2 8 11 4 21 1 3 8 3 3 3 3 3 22 0 11 0 17 17 19 12 12 12 0 0 3 19 4 4 4 4 4 4 4 20 4 20 4 20 20 4 4 5 5 5 5 5 5 5 5 15 15 5 5 5 5 18 18 6 6 6 6 18 18 18 18 16 16 16 11 11 11 16 21 6 16 6 18 16 6 6 18 6 18 18 6 18 6 17 7 7 7 7 7 7 17 3 9 17 9 8 17 21 21 17 9 22 22 21 0 21 21 22 21 9 12 8 8 9 22 9 9 21 22 21 21 0 22 19 9 22 9 9 12 9 9 22 21 21 9 0 0 21 22 9 12 9 22 2 9 19 19 9 8 8 10 10 10 10 10 10 17 10 10 10 10 6 6 6 11 0 0 8 0 19 8 19 12 8 0 8 15 15 15 8 8 12 8 8 8 0 8 0 8 19 8 19 19 8 8 12 8 8 0 0 13 13 13 13 13 13 13 13 20 20 20 14 14 14 21 12 19 8 21 4 22 13]
I; MQ:  4,4583; MV:    5; DT:    0; SOL: [0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 8 9 9 9 9 9 9 9 9 9 9 9 9 14 9 9 9 9 9 9 9 9 9 9 9 0 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 10 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 13 13 13 13 13 13 13 13 14 14 14 4 14 14 14 14 14 14 14 14 14 14 14 14]
I; MQ:  4,5761; MV:    9; DT:    1; SOL: [0 0 0 0 3 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 8 9 9 9 9 9 9 9 9 9 9 9 9 14 9 9 9 9 9 9 9 9 9 9 9 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 10 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 8 12 14 12 12 0 12 12 12 12 12 12 12 12 12 12 12 12 13 13 13 13 13 13 13 13 14 14 14 4 14 14 14 14 14 14 14 14 14 14 14 14]
I; MQ:  4,6114; MV:   14; DT:    1; SOL: [0 0 0 0 3 0 0 9 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 8 9 9 9 9 9 9 9 9 9 9 9 0 14 9 9 9 9 9 9 9 9 9 9 9 8 9 9 9 9 9 9 9 9 9 9 9 8 9 9 10 10 10 10 10 10 10 10 10 10 10 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 8 12 14 12 8 0 12 12 12 12 12 12 12 12 12 12 12 12 13 13 13 13 13 13 13 13 14 14 14 4 14 14 14 14 14 14 14 14 14 14 14 0]
I; MQ:  4,7630; MV:   18; DT:    2; SOL: [0 0 0 0 3 3 0 9 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 9 3 3 3 3 3 3 3 3 3 9 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 8 9 9 9 9 9 9 9 9 9 9 9 0 14 9 9 9 9 9 9 9 9 9 9 9 8 9 9 9 9 9 9 9 9 9 9 9 8 9 9 10 10 10 10 10 10 10 10 10 10 10 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 8 12 14 12 8 0 12 12 12 12 12 12 12 12 12 12 12 12 13 13 13 13 13 13 13 13 14 14 14 4 14 14 14 14 14 14 14 14 14 14 14 13]
I; MQ:  4,8396; MV:   22; DT:    3; SOL: [0 0 0 0 3 3 0 9 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 9 1 3 3 3 3 3 3 3 3 9 3 3 3 3 3 12 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 8 9 9 9 9 9 9 9 9 9 9 9 0 14 9 9 9 9 9 9 9 9 9 9 9 8 9 9 9 9 9 9 9 9 9 9 9 8 9 9 10 10 10 10 10 10 10 10 10 10 10 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 8 8 12 14 12 3 0 12 12 12 12 12 12 12 12 12 12 12 12 13 13 13 13 13 13 13 13 14 14 14 4 14 14 14 14 14 14 14 14 14 14 14 13]
I; MQ:  4,9731; MV:   26; DT:    4; SOL: [0 0 0 0 3 3 0 9 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 9 1 3 3 3 3 3 3 3 3 9 3 3 3 3 3 12 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 0 6 6 6 6 6 6 14 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 8 9 9 9 9 9 9 9 9 9 9 9 0 14 9 9 9 9 9 9 9 9 9 9 9 8 9 9 9 9 9 9 8 9 9 9 9 8 9 9 10 10 10 10 10 10 10 10 10 10 10 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 8 8 12 14 12 3 0 12 12 12 12 12 12 12 12 12 12 12 12 13 0 13 13 13 13 13 13 14 14 14 4 14 14 14 14 14 14 14 14 14 4 14 13]
I; MQ:  5,0078; MV:   30; DT:    5; SOL: [0 0 0 0 3 3 0 9 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 9 1 3 3 3 3 3 3 3 3 9 3 3 3 3 3 12 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 0 6 6 6 6 6 6 14 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 0 9 9 9 9 9 9 9 8 9 9 9 9 9 9 9 9 9 9 9 0 14 9 9 8 9 9 9 9 0 9 9 9 8 9 9 9 9 9 9 8 9 9 9 9 8 9 9 10 10 10 10 10 10 10 10 10 10 10 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 8 8 12 14 12 3 0 12 12 12 12 12 12 12 12 12 12 12 3 13 12 13 13 13 13 13 13 14 14 14 4 14 14 14 14 14 14 14 14 14 4 14 13]
I; MQ:  5,1079; MV:   34; DT:    6; SOL: [0 0 0 0 3 3 0 9 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 4 1 1 1 1 1 2 2 2 2 2 2 2 3 3 9 1 3 3 3 3 3 3 3 3 9 3 3 3 3 3 12 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 0 6 6 0 6 11 6 14 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 0 9 9 9 9 9 9 9 8 9 9 9 9 9 9 9 9 9 9 9 0 14 9 9 8 9 9 9 9 0 9 9 9 8 9 9 9 9 9 9 8 9 9 9 9 8 9 9 10 10 10 10 10 10 10 10 10 10 10 11 11 11 11 12 12 12 12 12 12 12 12 14 12 12 12 12 12 8 8 12 14 12 3 0 12 12 12 12 12 12 12 12 12 12 12 9 13 12 13 13 13 13 13 13 14 14 14 4 14 14 14 14 14 14 14 14 14 4 14 13]
I; MQ:  5,1416; MV:   38; DT:    7; SOL: [0 0 0 0 3 3 0 9 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 4 1 1 1 1 1 2 2 2 2 2 2 2 3 3 9 1 3 3 3 3 3 3 3 3 9 3 3 3 3 3 12 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 0 0 0 6 6 3 6 11 6 14 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 0 9 9 9 9 9 9 9 8 9 9 9 9 9 9 9 9 9 9 9 0 14 9 9 8 9 9 9 9 0 9 9 9 8 9 9 9 9 9 9 8 9 9 9 9 8 9 9 10 10 10 10 10 10 10 10 10 10 10 11 11 6 11 12 12 12 12 12 12 12 12 14 12 12 12 12 12 8 8 12 14 12 3 0 12 12 12 12 12 12 0 12 12 12 12 9 13 12 13 13 13 13 13 13 14 14 14 4 14 14 14 14 14 14 14 14 14 4 14 13]
