jung_visualization (221 classes; 11 packages; 919 deps)

Cycle #0: jung_visualization
S; MQ:  4,8789; MV:    0; DT:    0; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 10]
C; MQ:  7,4192; MV:   75; DT:    0; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 10 1 1 1 1 7 7 1 1 1 1 1 1 1 1 1 1 11 11 1 1 1 1 1 1 1 8 1 1 1 2 2 2 2 2 2 1 1 2 2 2 1 1 1 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2 1 1 1 1 2 2 2 2 2 1 1 1 2 1 1 1 1 2 1 1 1 1 2 2 1 1 1 1 3 3 11 3 11 3 3 3 3 3 3 3 3 3 3 3 3 1 3 3 5 5 5 3 3 1 1 1 1 10 1 10 4 4 4 4 5 5 1 5 5 5 1 5 5 5 1 9 1 9 6 6 6 6 6 1 9 6 11 11 9 11 1 9 9 6 6 6 6 6 6 6 6 6 6 9 6 6 11 7 7 8 8 8 9 9 8 8 8 8 8 10 10 1 1 9 9 9 1 9 9 9 9 9 9 9 8 10 11 10 10 10 10 10 10 3]
I; MQ:  4,9761; MV:    5; DT:    0; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 1 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 5 5 1 5 5 5 1 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 10]
I; MQ:  5,0436; MV:   10; DT:    0; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 10 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 2 1 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 5 5 1 5 5 5 1 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 8 8 8 8 8 8 8 8 8 8 8 10 8 8 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 3]
I; MQ:  5,1306; MV:   13; DT:    2; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 2 1 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 5 5 1 5 5 5 1 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 9 6 6 6 7 7 8 8 8 10 8 8 8 8 8 8 8 10 8 10 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 3]
I; MQ:  5,2002; MV:   18; DT:    2; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 1 1 2 2 2 2 2 1 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 0 3 3 3 1 4 4 4 4 4 4 4 4 4 4 5 5 1 5 5 5 1 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 1 6 9 6 6 6 6 6 6 6 6 6 6 6 6 6 6 9 6 6 6 7 7 8 8 8 10 8 8 8 8 8 8 8 10 8 10 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 3]
I; MQ:  5,2774; MV:   20; DT:    4; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 2 1 2 2 2 1 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 3 3 3 1 4 4 4 4 4 4 4 4 4 4 5 5 1 5 5 5 1 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 1 6 9 6 1 6 6 6 6 6 6 6 6 6 6 6 6 9 6 6 6 7 7 8 8 8 10 8 8 8 8 8 8 8 10 8 10 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 3]
I; MQ:  5,3822; MV:   23; DT:    5; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 2 1 2 2 2 1 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 3 3 3 1 4 4 4 4 4 7 4 4 4 7 5 5 1 5 5 5 1 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 9 6 1 6 6 6 6 6 6 6 6 6 6 6 6 9 6 6 6 7 7 8 8 8 10 8 8 8 8 8 8 8 10 8 10 9 9 9 1 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 3]
I; MQ:  5,4976; MV:   28; DT:    5; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 2 2 2 1 1 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 3 3 1 4 4 4 4 4 7 4 4 4 7 5 5 1 5 5 5 1 5 5 5 5 6 6 9 6 6 6 6 6 6 6 6 6 6 9 6 1 6 6 6 6 6 6 6 6 6 6 6 6 9 6 6 6 7 7 8 8 8 10 8 8 8 8 8 8 8 10 8 10 9 9 9 1 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 3]
I; MQ:  5,6330; MV:   33; DT:    6; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 1 1 1 1 1 2 2 2 1 1 2 3 3 1 3 10 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 3 3 1 4 4 4 4 4 7 4 4 4 7 5 5 1 5 5 5 1 5 5 5 5 6 6 9 6 6 6 6 6 6 6 6 6 6 9 6 1 6 6 6 6 6 6 6 6 6 6 6 6 9 6 6 6 7 7 8 8 8 10 8 8 8 8 8 8 8 10 8 10 9 9 9 1 9 9 9 9 9 9 9 8 10 10 10 10 10 10 10 10 3]
I; MQ:  5,7268; MV:   34; DT:    8; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 1 2 2 2 2 2 2 2 2 2 1 2 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 1 2 2 1 2 1 1 1 1 2 2 2 1 1 2 3 3 1 3 10 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 3 3 1 4 4 4 4 4 7 4 4 4 7 5 5 1 5 5 5 1 5 5 5 5 6 6 9 6 6 6 6 6 6 6 6 6 6 9 6 1 6 6 6 6 6 6 6 6 6 6 6 6 9 6 6 6 7 7 8 8 8 10 8 8 8 8 8 8 8 10 8 8 9 9 9 1 9 9 9 9 9 9 9 8 10 10 10 10 10 10 10 10 3]
