jxlscore (83 classes; 10 packages; 330 deps)

Cycle #0: jxlscore
S; MQ:  3,0152; MV:    0; DT:    0; SOL: [0 0 0 0 0 0 0 1 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9]
C; MQ:  5,7903; MV:   42; DT:    0; SOL: [0 8 9 0 0 0 0 11 1 2 7 2 2 0 0 7 0 2 3 3 3 3 3 3 2 2 6 3 3 6 9 4 0 8 5 5 5 6 10 11 6 11 6 6 11 10 7 11 10 10 6 6 6 1 7 7 7 7 11 7 1 7 4 2 8 9 6 9 9 9 8 2 8 4 8 0 0 4 6 6 2 9 9]
I; MQ:  3,0654; MV:    5; DT:    0; SOL: [0 0 0 0 0 0 0 1 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 6 3 4 8 4 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 8 3 8 8 8 8 4 8 8 8 8 8 8 8 8 2 9 9 9 9 9]
I; MQ:  3,3032; MV:   10; DT:    0; SOL: [0 0 0 0 0 0 0 1 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 6 3 4 8 4 5 5 5 6 6 6 6 6 6 6 6 6 6 1 6 6 6 6 6 7 7 7 7 7 7 7 7 7 4 3 8 8 8 4 4 8 8 8 8 8 8 8 8 2 1 1 9 9 9]
I; MQ:  3,4079; MV:   10; DT:    3; SOL: [0 6 0 0 0 0 0 1 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 6 3 4 8 4 5 5 5 6 6 6 6 6 6 6 6 6 6 1 6 6 6 6 6 7 7 7 7 7 7 7 7 7 4 3 8 8 8 8 8 8 8 8 8 8 8 0 8 4 1 1 9 9 9]
I; MQ:  3,6961; MV:   14; DT:    4; SOL: [0 8 0 0 0 0 0 1 1 2 7 2 2 0 0 2 2 2 3 3 3 3 3 3 3 3 3 3 3 6 3 4 8 8 5 5 5 6 6 6 6 6 6 6 6 6 6 1 6 6 6 6 6 7 7 7 7 7 7 7 7 7 4 3 8 8 8 8 8 8 8 8 8 8 8 0 8 4 1 1 9 9 9]
I; MQ:  3,7933; MV:   19; DT:    4; SOL: [0 8 0 0 0 0 0 1 1 2 7 2 2 0 0 2 2 2 3 3 3 3 3 3 3 3 6 3 3 6 3 4 8 8 5 5 5 6 6 6 6 6 6 6 6 6 6 1 8 6 6 6 6 1 7 7 7 7 1 7 7 7 4 3 8 8 6 8 8 8 8 8 8 8 8 0 8 4 1 1 9 9 9]
I; MQ:  3,8769; MV:   19; DT:    7; SOL: [0 8 0 2 0 0 0 1 1 2 7 2 2 0 0 2 2 2 3 3 3 3 3 3 3 3 3 3 3 6 3 4 8 8 5 5 5 6 6 6 6 6 6 6 6 6 6 1 6 6 6 6 6 1 7 7 7 7 6 7 1 7 4 3 8 8 6 8 8 8 8 8 8 8 8 0 8 4 1 1 9 9 9]
I; MQ:  4,0695; MV:   24; DT:    8; SOL: [0 8 0 2 0 0 0 1 1 2 7 2 2 0 0 2 2 2 3 3 3 3 3 3 3 3 6 3 3 6 3 4 8 8 5 5 5 6 6 6 6 6 6 6 6 6 7 1 6 6 6 6 6 1 7 7 7 7 6 7 1 7 4 3 8 8 6 8 8 8 8 6 8 4 8 0 8 4 1 1 3 9 9]
I; MQ:  4,1029; MV:   24; DT:   13; SOL: [0 6 0 2 0 0 0 1 1 2 7 2 2 0 0 2 2 2 3 3 3 3 3 3 3 3 3 3 3 6 3 4 8 8 5 5 5 6 6 6 6 6 6 6 6 6 7 1 8 6 6 6 6 1 7 7 7 7 8 7 1 7 4 3 8 8 6 8 8 8 8 6 8 4 8 0 8 4 1 1 6 9 9]
I; MQ:  4,2479; MV:   26; DT:   15; SOL: [0 8 9 0 0 0 0 6 1 2 7 2 2 0 0 2 0 2 3 3 3 3 3 3 3 3 3 3 3 6 3 4 8 8 5 5 5 6 6 6 6 6 6 6 6 6 7 1 8 6 6 6 6 1 7 7 7 7 8 7 1 7 4 3 8 8 6 8 8 8 8 6 8 4 8 0 8 4 1 1 6 9 9]
