log4j (308 classes; 20 packages; 1078 deps)

Cycle #0: log4j
S; MQ:  7,1514; MV:    0; DT:    0; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 13 13 13 13 14 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 19 19 19 19 19]
C; MQ: 17,2193; MV:  141; DT:    0; SOL: [31 31 20 20 20 25 0 0 0 0 0 23 0 17 20 34 17 23 26 0 34 12 12 0 12 12 0 14 30 30 0 25 12 0 24 0 23 23 34 0 12 23 1 1 1 1 1 1 1 1 12 12 1 0 29 29 1 1 1 1 1 12 2 2 34 31 31 3 20 20 23 11 3 3 24 3 3 33 33 14 0 31 33 3 3 3 3 3 3 3 3 3 3 23 3 24 24 14 26 31 5 5 5 5 5 5 5 6 17 6 6 6 6 6 6 6 6 6 8 7 7 6 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 6 8 8 8 6 8 8 8 8 8 8 8 7 7 7 8 8 8 8 7 10 8 10 10 8 6 8 9 10 10 10 10 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 9 10 8 28 31 35 28 28 0 11 11 11 11 0 0 24 27 27 11 12 13 13 13 13 13 13 22 34 16 32 16 16 16 32 22 32 16 12 32 34 22 33 4 4 4 32 4 16 16 16 16 16 16 4 16 22 22 14 15 15 4 4 4 20 17 17 17 31 21 0 32 0 0 35 0 0 17 31 13 17 33 0 17 17 17 28 17 21 18 31 18 18 21 21 35 17 25 21 19 19 19 19 19 19 19 33 33 28 26 24]
I; MQ:  7,2103; MV:    5; DT:    0; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 3 3 0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 3 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 13 13 13 13 14 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 0 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 17 19 19 19 19 19 19 19 19 19 19 19 19]
I; MQ:  7,3073; MV:    9; DT:    1; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 3 3 0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 3 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 6 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 13 13 13 13 13 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 16 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 12 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 17 19 19 19 19 19 19 19 19 19 19 19 19]
I; MQ:  7,3686; MV:   13; DT:    2; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 12 12 1 1 1 1 1 1 1 1 1 12 2 2 2 2 2 3 3 3 17 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 3 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 6 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 13 13 13 13 13 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 16 17 17 17 17 17 17 17 17 17 17 0 17 17 17 17 17 17 17 12 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 17 19 19 19 19 19 19 19 19 19 19 19 19]
I; MQ:  7,4916; MV:   14; DT:    6; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 12 12 1 1 1 1 1 1 1 1 1 12 2 2 2 2 2 3 3 3 17 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 17 3 3 3 3 3 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 6 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 13 13 13 13 13 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 0 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 4 16 17 17 17 17 17 17 17 17 17 17 4 17 17 17 17 17 17 17 12 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 4 19 19 19 19 19 19 19 19 19 19 19 19]
I; MQ:  7,5756; MV:   18; DT:    7; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 12 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 12 12 1 1 1 1 1 1 1 1 1 12 2 2 2 2 2 3 3 3 17 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 17 3 3 3 3 3 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 6 8 8 6 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 13 13 13 13 13 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 4 16 16 16 4 16 17 17 17 17 17 17 17 17 17 17 4 17 17 17 17 0 17 17 12 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 4 19 19 19 19 19 19 19 19 19 19 19 19]
I; MQ:  7,7184; MV:   17; DT:   11; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 12 12 1 1 1 1 1 1 12 1 1 12 2 2 2 2 2 3 3 3 17 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 17 3 3 3 3 3 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 6 8 8 6 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 13 13 13 13 13 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 4 16 16 16 4 16 17 17 17 17 17 17 17 17 17 17 4 17 17 17 17 13 17 17 0 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 4 19 19 19 19 19 19 19 19 19 19 19 19]
I; MQ:  7,7936; MV:   22; DT:   11; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 12 12 1 1 1 1 1 1 12 1 1 12 2 2 2 2 2 3 0 3 17 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 17 3 3 11 3 3 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 6 8 8 6 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 13 13 13 13 13 15 16 16 16 16 16 16 16 16 16 16 16 4 16 16 16 17 16 16 16 16 4 16 16 16 16 16 16 16 16 16 16 4 16 16 16 4 16 17 17 17 17 17 17 17 17 17 17 4 17 17 17 17 13 17 17 0 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 4 19 19 19 19 19 19 19 19 19 19 19 19]
I; MQ:  7,9668; MV:   26; DT:   12; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 12 12 1 1 1 1 1 1 12 1 1 12 2 2 2 2 2 3 0 3 17 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 17 3 3 11 3 3 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 8 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 6 8 8 6 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 13 13 13 13 13 15 16 16 16 16 16 16 16 16 16 16 16 4 16 4 16 17 16 16 16 16 4 16 16 16 16 16 16 16 16 16 16 4 16 16 16 4 16 17 17 17 17 17 17 17 17 17 17 4 17 17 17 17 13 17 17 0 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 4 19 19 19 19 19 19 19 19 19 19 19 19]
I; MQ:  8,1332; MV:   28; DT:   14; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 12 12 1 1 1 1 1 1 12 1 1 12 2 2 2 0 2 3 0 3 17 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 17 3 3 11 3 3 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 8 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 6 8 8 6 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 13 13 13 13 13 15 16 16 16 16 16 16 16 16 16 16 16 4 16 4 16 17 16 16 16 16 4 16 16 16 16 16 16 16 16 16 16 4 16 16 16 4 16 17 17 17 17 17 17 17 17 17 17 4 17 17 17 17 13 17 17 0 17 17 17 17 17 18 18 18 18 18 4 18 4 18 18 4 19 19 19 19 19 19 19 19 19 19 19 19]
