pfcda_swing (252 classes; 37 packages; 885 deps)

Cycle #0: pfcda_swing
S; MQ: 13,3544; MV:    0; DT:    0; SOL: [0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 3 3 4 4 4 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 8 9 9 10 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 13 13 13 13 13 13 14 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28 29 29 29 29 29 29 29 29 29 29 29 29 30 30 30 31 31 31 31 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 36 36 36 36 36 36 36]
C; MQ: 21,7932; MV:  116; DT:    0; SOL: [36 45 39 39 1 1 36 35 45 41 44 1 47 44 44 2 2 2 40 28 2 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 26 42 6 26 27 6 6 6 6 26 7 0 0 7 7 8 8 8 8 8 41 23 15 10 10 10 10 10 10 16 11 11 14 12 12 11 11 19 19 46 46 47 47 0 0 11 0 45 0 0 19 43 11 12 0 0 19 43 41 16 13 13 13 43 13 14 43 12 14 14 14 15 43 12 15 15 15 19 16 16 16 17 42 17 17 42 42 17 18 18 19 39 20 20 20 20 20 20 20 20 39 20 38 38 38 38 29 23 21 21 21 23 28 41 18 18 20 29 29 23 22 22 22 22 22 22 44 24 24 25 25 25 26 26 26 26 27 27 37 37 6 26 26 10 10 6 27 27 41 8 10 9 9 9 9 9 27 37 37 26 27 27 40 40 28 28 29 29 29 28 28 28 29 29 29 28 29 30 3 30 31 31 31 31 32 32 32 32 32 32 32 39 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 36 9 9 35 35 35 35 35 35]
I; MQ: 13,4536; MV:    5; DT:    0; SOL: [0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 28 2 3 3 3 3 3 4 4 4 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 8 9 9 10 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 18 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 13 13 13 13 13 13 14 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 29 21 21 21 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 10 27 27 27 27 27 27 27 27 27 27 27 28 28 28 29 29 29 29 29 29 29 29 29 29 29 29 30 30 30 31 31 31 31 32 10 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 36 36 36 36 36 36 36]
I; MQ: 13,8338; MV:   10; DT:    0; SOL: [0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 28 2 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 8 9 9 10 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 18 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 13 13 13 13 13 13 14 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 29 21 21 21 21 21 21 21 21 21 21 21 0 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 10 27 27 27 27 27 27 27 27 27 27 27 28 28 28 29 29 29 29 29 29 0 29 29 29 29 29 30 30 30 31 31 31 31 32 10 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 36 36 36 36 36 35 36]
I; MQ: 14,0436; MV:   12; DT:    2; SOL: [0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 28 2 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 8 9 9 10 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 18 11 11 11 11 11 11 11 11 11 11 11 15 12 12 12 12 12 13 13 13 13 13 13 14 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 0 20 20 20 20 20 29 21 21 21 21 21 21 21 21 21 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 10 36 27 27 27 27 27 27 27 27 27 27 28 28 28 29 29 29 29 29 29 29 29 29 29 29 29 30 30 30 31 31 31 31 32 10 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 36 36 36 36 36 35 36]
I; MQ: 14,3766; MV:   15; DT:    3; SOL: [0 0 1 1 1 1 0 36 1 1 1 1 1 1 1 2 2 2 2 28 2 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 8 9 9 10 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 18 11 11 11 11 11 11 11 11 11 11 11 15 12 12 12 12 12 13 13 13 13 12 13 14 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 0 20 20 20 20 20 29 21 21 21 21 21 21 21 21 21 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 10 27 27 27 27 27 27 27 27 27 27 27 28 28 28 29 29 29 29 29 29 29 29 29 29 29 29 30 30 30 31 31 31 31 32 10 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 36 36 36 35 36 35 36]
I; MQ: 14,5058; MV:   19; DT:    5; SOL: [0 0 1 1 1 1 0 36 1 1 1 1 1 1 1 2 2 2 2 28 2 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 9 9 9 10 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 18 11 11 11 11 11 1 11 11 11 11 11 15 12 12 12 12 12 13 13 13 13 0 13 14 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 0 20 20 20 20 20 29 21 21 21 21 21 21 21 21 21 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 10 9 27 27 27 27 27 27 27 27 27 27 28 28 28 29 29 29 29 29 29 29 29 29 29 29 29 30 30 30 31 31 31 31 32 10 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 9 36 36 35 36 35 36]
I; MQ: 14,6319; MV:   22; DT:    7; SOL: [0 0 1 0 1 1 36 36 0 1 1 1 1 1 1 2 2 2 2 28 2 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 9 9 9 10 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 18 11 11 11 11 11 0 11 11 11 11 11 15 12 12 12 12 12 13 13 13 13 0 13 14 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 0 20 20 20 20 20 29 21 21 21 21 21 21 21 21 21 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 10 9 27 27 27 27 27 27 27 27 27 27 28 28 28 29 29 29 29 29 29 29 29 29 29 29 29 30 3 30 31 31 31 31 32 10 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 9 36 36 35 36 35 36]
I; MQ: 14,9127; MV:   25; DT:    8; SOL: [0 0 1 1 1 1 36 36 0 1 1 1 1 1 1 2 2 2 2 28 2 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 9 9 9 10 10 10 10 10 10 11 11 11 11 11 12 11 11 11 11 18 11 18 18 11 11 11 11 0 11 11 11 11 11 15 12 12 12 12 12 13 13 13 13 0 13 14 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 0 20 20 20 20 20 29 21 21 21 21 21 21 21 21 21 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 10 9 27 27 27 27 27 27 26 27 27 27 28 28 28 29 29 29 29 29 29 29 29 29 29 29 29 30 3 30 31 31 31 31 32 10 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 9 36 36 35 36 35 36]
I; MQ: 15,0886; MV:   28; DT:   10; SOL: [0 0 1 0 1 1 36 36 0 0 1 1 1 1 1 2 2 2 2 28 2 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 9 9 9 10 10 10 10 10 10 11 11 11 11 11 12 11 11 11 11 18 11 18 18 11 11 11 11 0 11 11 11 11 11 15 12 12 12 12 12 13 13 13 13 0 13 14 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 0 20 20 20 20 20 29 21 21 21 21 21 21 21 21 21 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 10 27 27 27 27 27 27 10 9 27 27 9 27 27 27 26 27 27 27 28 28 28 29 29 29 29 29 29 29 29 29 29 29 29 30 3 30 31 31 31 31 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 9 36 36 35 36 35 36]
I; MQ: 15,1763; MV:   32; DT:   12; SOL: [0 0 1 0 1 1 36 36 0 0 1 1 18 1 1 2 2 2 2 29 2 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 9 9 9 10 10 10 10 10 10 11 11 11 11 11 12 11 11 11 11 18 11 18 18 11 11 11 11 0 11 11 11 11 11 15 12 12 12 12 12 13 13 13 13 0 13 14 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 0 20 20 20 20 20 29 21 21 21 21 21 28 21 21 21 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 10 27 27 27 27 27 27 10 9 27 27 9 27 27 27 26 27 27 27 28 28 28 29 29 29 29 28 29 28 29 29 29 29 29 30 3 30 31 31 31 31 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 9 36 36 35 36 35 36]
