tinytim (134 classes; 9 packages; 564 deps)

Cycle #0: tinytim
S; MQ:  3,6161; MV:    0; DT:    0; SOL: [0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 8 8 8 8 8 8]
C; MQ:  9,5850; MV:   68; DT:    0; SOL: [0 15 0 9 15 17 0 1 18 1 1 1 18 1 1 1 18 1 0 0 0 0 14 17 9 14 15 15 13 13 13 15 14 2 2 2 2 2 2 11 11 12 12 12 12 12 12 3 3 3 3 3 3 10 18 10 10 10 18 10 10 10 18 9 4 18 18 11 11 16 16 17 12 17 4 4 4 9 14 4 4 15 4 15 14 5 5 5 4 5 5 5 4 5 4 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 4 4 6 16 7 7 16 16 7 7 8 8 8 8 8 2 8]
I; MQ:  3,8319; MV:    5; DT:    0; SOL: [0 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 5 5 5 5 5 5 5 5 5 5 5 5 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 6 7 7 7 7 7 7 7 7 8 8 8 8 8 8]
I; MQ:  4,0823; MV:   10; DT:    0; SOL: [0 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 5 5 5 5 5 5 5 5 5 5 5 5 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 6 7 7 7 4 7 7 7 7 8 8 8 8 2 8]
I; MQ:  4,2635; MV:   13; DT:    1; SOL: [0 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 4 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 4 4 4 4 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 6 7 7 7 4 7 7 7 7 8 8 8 8 2 8]
I; MQ:  4,3966; MV:   15; DT:    3; SOL: [0 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 4 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 4 4 4 4 3 7 7 4 4 4 1 4 4 4 5 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 6 7 7 7 7 7 7 7 7 8 8 8 8 2 8]
I; MQ:  4,4054; MV:   18; DT:    4; SOL: [0 1 1 1 1 1 1 1 4 4 1 1 4 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 4 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 4 4 4 4 4 3 7 7 4 4 4 1 4 4 4 5 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 6 7 7 7 7 7 7 7 7 8 8 8 8 2 8]
I; MQ:  4,4729; MV:   15; DT:    8; SOL: [0 1 1 1 1 1 1 1 1 4 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 4 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 1 4 4 4 4 3 7 7 4 4 4 1 4 4 4 5 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 6 7 7 7 7 7 7 7 7 8 8 8 8 2 8]
I; MQ:  4,5107; MV:   15; DT:   11; SOL: [0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 4 3 3 4 3 3 3 3 3 3 3 3 1 3 3 3 3 3 3 3 1 4 4 1 4 3 7 7 4 4 4 1 4 4 4 5 4 4 4 4 4 5 5 5 5 5 4 5 5 5 5 5 5 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 6 7 7 7 7 7 7 7 7 8 8 8 8 2 8]
I; MQ:  4,7295; MV:   16; DT:   13; SOL: [0 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 4 3 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 4 4 1 4 3 7 7 4 4 4 4 4 4 4 5 4 4 4 4 4 5 5 5 5 5 4 5 5 5 5 5 5 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 6 1 7 7 7 7 7 7 8 8 8 8 8 2 8]
I; MQ:  4,9010; MV:   20; DT:   14; SOL: [0 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 4 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 4 3 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 4 4 1 4 3 7 7 4 4 4 4 4 4 4 5 4 4 4 4 4 5 5 5 5 5 4 5 5 5 5 5 5 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 6 5 7 7 7 8 7 7 8 8 8 8 8 2 8]
I; MQ:  4,9405; MV:   25; DT:   14; SOL: [0 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 0 4 4 1 1 1 4 1 2 2 2 2 2 2 3 3 3 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 4 4 1 4 3 7 7 4 4 4 4 4 4 4 5 4 4 4 4 4 5 1 5 5 5 4 5 5 5 5 5 5 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 6 5 7 7 7 8 7 7 8 8 8 8 8 2 8]
I; MQ:  4,9752; MV:   28; DT:   15; SOL: [0 4 1 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 0 4 4 1 1 1 4 1 2 2 2 2 2 2 3 3 3 3 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 4 4 1 4 3 7 7 4 4 4 4 4 4 4 5 4 4 4 4 4 5 1 5 5 5 4 5 5 5 5 5 5 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 6 5 7 7 7 8 7 7 8 8 8 8 8 2 8]
I; MQ:  5,0306; MV:   27; DT:   19; SOL: [0 4 1 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 0 4 4 1 1 1 4 1 2 2 2 2 2 2 3 3 3 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 4 4 1 4 3 7 7 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 6 5 7 7 7 8 7 7 8 8 8 8 8 2 8]
I; MQ:  5,0890; MV:   30; DT:   22; SOL: [0 4 1 9 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 4 4 0 4 4 1 1 1 4 4 2 2 2 2 2 2 3 3 3 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 4 4 1 4 9 7 7 4 4 4 9 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 6 5 7 7 7 8 7 7 8 8 8 8 8 2 8]
I; MQ:  5,1410; MV:   29; DT:   27; SOL: [0 9 1 9 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 4 4 0 4 9 1 1 1 9 4 2 2 2 2 2 2 3 3 3 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 4 4 1 4 3 7 7 4 4 4 9 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 6 5 7 7 7 8 7 7 8 8 8 8 8 2 8]
I; MQ:  5,2384; MV:   32; DT:   30; SOL: [0 9 1 9 9 4 9 1 1 1 1 1 1 1 1 1 1 1 1 9 9 1 1 4 4 0 4 9 1 1 1 9 4 2 2 2 2 2 2 3 3 3 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 4 4 1 4 3 7 7 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 4 5 5 5 5 5 5 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 6 5 7 7 7 8 7 7 8 8 8 8 8 2 8]
