xmlapi (184 classes; 17 packages; 413 deps)
jmetal (190 classes; 46 packages; 1137 deps)
dom4j (195 classes; 16 packages; 930 deps)
pdf_renderer (199 classes; 10 packages; 629 deps)
Jung_graph_model (207 classes; 21 packages; 603 deps)

Cycle #0: xmlapi
S; MQ:  7,8174; MV:    0; DT:    0; SOL: [0 0 0 0 0 0 0 0 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 4 4 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 11 11 11 11 11 12 12 12 12 13 13 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16]
C; MQ: 10,3741; MV:   32; DT:    0; SOL: [14 0 0 0 0 0 14 0 1 2 4 2 2 2 2 2 4 1 3 2 1 1 2 2 2 3 4 3 3 3 2 4 5 5 6 6 6 6 10 6 6 6 5 6 6 6 6 5 6 6 6 7 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 5 6 7 7 7 13 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 5 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 11 11 7 11 11 12 12 12 12 13 13 14 16 14 14 14 14 14 14 14 14 14 14 14 14 14 3 14 14 3 14 16 14 14 16 16 16 16 16 16 14 14 14 16]
I; MQ:  7,9058; MV:    5; DT:    0; SOL: [0 0 0 0 0 0 0 0 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 4 4 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 13 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 11 11 11 11 11 12 12 12 12 13 13 14 14 14 14 16 14 16 14 14 14 14 14 14 14 14 14 14 14 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16]
I; MQ:  8,1756; MV:    8; DT:    2; SOL: [0 0 0 0 0 0 0 0 1 1 1 2 2 2 2 2 4 2 2 2 2 2 2 2 2 3 3 3 3 3 4 4 5 6 6 6 6 6 10 6 6 6 6 6 6 6 6 6 6 6 6 7 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 13 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 11 11 11 11 11 12 12 12 12 13 13 14 14 14 14 1 14 1 14 14 14 14 14 14 14 14 14 14 14 15 16 16 1 16 16 16 16 16 16 16 16 16 16 16]
I; MQ:  8,4286; MV:   11; DT:    3; SOL: [0 0 0 0 0 0 0 0 1 1 1 2 2 2 2 2 4 2 2 2 2 2 2 2 2 3 3 3 3 3 4 4 5 6 6 6 6 6 10 6 6 6 5 6 6 6 6 6 6 6 6 7 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 6 7 7 7 13 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 5 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 11 11 11 11 11 12 12 12 12 13 13 14 14 14 14 1 14 14 14 14 14 14 14 14 14 14 14 14 14 3 16 16 1 16 16 16 16 16 16 16 16 16 16 16]
I; MQ:  8,5958; MV:   12; DT:    6; SOL: [0 0 0 0 0 0 0 0 1 1 1 2 2 2 2 2 4 2 2 2 2 2 2 2 2 3 3 3 3 3 4 4 5 6 6 6 6 6 10 6 6 6 5 6 6 6 6 6 6 6 6 7 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 6 7 7 7 5 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 5 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 11 11 11 11 11 12 12 12 12 13 13 14 14 14 14 14 14 14 14 14 16 14 14 14 14 14 14 14 14 3 16 16 14 16 16 16 16 16 16 16 16 16 14 16]
I; MQ:  9,0816; MV:   14; DT:    8; SOL: [0 0 0 0 0 0 0 0 1 1 1 2 2 2 2 2 1 2 2 2 2 2 2 2 2 3 4 3 3 3 4 4 5 6 6 6 6 6 10 6 6 6 5 6 6 6 6 5 6 6 6 7 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 6 7 7 7 5 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 5 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 11 11 11 11 11 12 12 12 12 13 13 14 16 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 3 16 16 14 16 16 16 16 16 16 16 16 16 14 16]
I; MQ:  9,2897; MV:   19; DT:    8; SOL: [0 0 0 0 0 0 0 0 1 2 1 2 2 2 2 2 1 2 2 2 2 2 2 2 1 3 4 3 3 3 2 4 5 5 6 6 6 6 10 6 6 6 5 6 6 6 6 5 6 6 6 7 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 6 7 7 7 5 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 5 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 11 11 11 11 11 12 12 12 12 13 13 14 16 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 3 16 16 14 16 16 16 16 16 16 16 16 14 14 16]
I; MQ:  9,4188; MV:   23; DT:    9; SOL: [0 0 0 0 0 0 0 0 1 2 1 2 2 2 2 2 1 1 2 2 2 1 2 2 1 3 4 3 3 3 2 4 5 5 6 6 6 6 10 6 6 6 5 6 6 6 6 5 6 6 6 7 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 6 7 7 7 13 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 5 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 11 11 11 11 11 12 12 12 12 13 13 14 16 14 14 14 14 14 14 14 14 14 14 0 14 14 14 14 14 3 16 16 14 16 16 16 16 16 16 16 16 14 14 16]
I; MQ:  9,7329; MV:   27; DT:   10; SOL: [0 0 0 0 0 0 0 0 1 2 1 2 2 2 2 2 4 1 3 1 1 1 2 2 1 3 4 3 3 3 2 4 5 5 6 6 6 6 10 6 6 6 5 6 6 6 6 5 6 6 6 7 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 6 7 7 7 13 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 5 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 11 11 11 11 11 12 12 12 12 13 13 14 16 14 14 14 14 14 14 14 14 14 14 0 14 14 14 14 14 3 16 16 14 16 16 16 16 16 16 16 14 14 14 16]
I; MQ:  9,8708; MV:   28; DT:   12; SOL: [0 0 0 0 0 0 0 0 1 2 0 2 2 2 2 2 4 1 3 2 1 1 2 2 2 3 4 3 3 3 2 4 5 5 6 6 6 6 10 6 6 6 5 6 6 6 6 5 6 6 6 7 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 6 7 7 7 13 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 5 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 11 11 11 11 11 12 12 12 12 13 13 14 16 14 14 14 14 14 14 14 14 14 14 0 14 14 3 14 14 3 16 16 14 14 16 16 16 16 16 16 14 14 14 16]
